,title,pubDate,link,,description
741,"[가상화폐 뉴스] 07월 18일 19시 00분 <b>비트코인</b>(10.76%), 이오스(12%), 라이트...","Wed, 18 Jul 2018 19:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662430,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 803,000원(10.76%) 상승한... "
643,"[가상화폐 뉴스] 07월 18일 19시 30분 <b>비트코인</b>(10.44%), 이오스(12.15%), 오...","Wed, 18 Jul 2018 19:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662433,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 781,000원(10.44%) 상승한... "
603,"[가상화폐 뉴스] 07월 18일 20시 00분 <b>비트코인</b>(10.33%), 이오스(11.98%), 라...","Wed, 18 Jul 2018 20:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662440,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 773,000원(10.33%) 상승한... "
590,"[가상화폐 뉴스] 07월 18일 20시 30분 <b>비트코인</b>(10.69%), 이오스(11.75%), 오...","Wed, 18 Jul 2018 20:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662441,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 800,000원(10.69%) 상승한... "
656,"[가상화폐 뉴스] 07월 18일 21시 00분 <b>비트코인</b>(11.14%), 이오스(12.1%), 오미...","Wed, 18 Jul 2018 21:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662444,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 831,000원(11.14... "
570,"[가상화폐 뉴스] 07월 18일 21시 30분 <b>비트코인</b>(11.43%), 이오스(13.25%), 오...","Wed, 18 Jul 2018 21:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662447,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 854,000원(11.43... "
600,"[가상화폐 뉴스] 07월 18일 22시 00분 <b>비트코인</b>(10.94%), 라이트코인(12.1%),...","Wed, 18 Jul 2018 22:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662448,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 820,000원(10.94... "
628,"[가상화폐 뉴스] 07월 18일 22시 30분 <b>비트코인</b>(10.7%), 이오스(12.71%), 라이...","Wed, 18 Jul 2018 22:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662449,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 800,000원(10.7%) 상승한... "
543,"[가상화폐 뉴스] 07월 18일 23시 00분 <b>비트코인</b>(11.11%), 이오스(12.81%), 오...","Wed, 18 Jul 2018 23:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662451,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 832,000원(11.11... "
535,"[가상화폐 뉴스] 07월 18일 23시 30분 <b>비트코인</b>(11.05%), 오미세고(14.43%), ...","Wed, 18 Jul 2018 23:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662453,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 830,000원(11.05%) 상승한... "
279,"[가상화폐 뉴스] 07월 19일 00시 00분 <b>비트코인</b>(11.49%), 오미세고(12.92%), ...","Thu, 19 Jul 2018 00:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662456,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 863,000원(11.49... "
766,"[가상화폐 뉴스] <b>비트코인</b> 캐시, 전일 대비 78,500원 (8.81%) 오른 969,500원","Thu, 19 Jul 2018 00:04:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662461,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] <b>비트코인</b> 캐시 최근 1개월 추세 (제공: 암호화폐 거래소 코인원) 07월 19일 00시 03분 현재 암호화폐 거래소 코인원에 따르면 <b>비트코인</b> 캐시는 전일 대비 78,500원 (8.81... "
763,"[가상화폐 뉴스] <b>비트코인</b>, 전일 대비 822,000원 (10.95%) 오른 8,326,000원","Thu, 19 Jul 2018 00:10:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662463,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] <b>비트코인</b> 최근 1개월 추세 (제공: 암호화폐 거래소 코인원) 07월 19일 00시 09분 현재 암호화폐 거래소 코인원에 따르면 <b>비트코인</b>은 전일 대비 822,000원 (10.95%) 오른 8... "
802,"[가상화폐 뉴스] 07월 19일 00시 30분 <b>비트코인</b>(10.48%), 오미세고(12.32%), ...","Thu, 19 Jul 2018 00:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662466,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 788,000원(10.48... "
785,"[가상화폐 뉴스] 07월 19일 01시 00분 <b>비트코인</b>(10.08%), 오미세고(12.09%), ...","Thu, 19 Jul 2018 01:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662469,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 761,000원(10.08... "
770,"[가상화폐 뉴스] 07월 19일 01시 30분 <b>비트코인</b>(10.82%), 오미세고(13.68%), ...","Thu, 19 Jul 2018 01:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662471,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 816,000원(10.82... "
273,"[가상화폐 뉴스] 07월 19일 02시 00분 <b>비트코인</b>(10.21%), 오미세고(13.36%), ...","Thu, 19 Jul 2018 02:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662472,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 770,000원(10.21%) 상승한... "
725,"[가상화폐 뉴스] 07월 19일 02시 30분 <b>비트코인</b>(10.3%), 오미세고(13.36%), 이...","Thu, 19 Jul 2018 02:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662473,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 777,000원(10.3%) 상승한... "
691,"[가상화폐 뉴스] <b>비트코인</b>, 전일 대비 670,000원 (8.72%) 오른 8,350,000원","Thu, 19 Jul 2018 02:41:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662474,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] <b>비트코인</b> 최근 1개월 추세 (제공: 암호화폐 거래소 코인원) 07월 19일 02시 40분 현재 암호화폐 거래소 코인원에 따르면 <b>비트코인</b>은 전일 대비 670,000원 (8.72%) 오른 8,350... "
714,"[가상화폐 뉴스] 07월 19일 03시 00분 <b>비트코인</b>(6.46%), 오미세고(10.79%), 퀀...","Thu, 19 Jul 2018 03:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662476,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 509,000원(6.46%) 상승한... "
698,"[가상화폐 뉴스] 07월 19일 03시 30분 <b>비트코인</b>(3.61%), 오미세고(8%), 이더리...","Thu, 19 Jul 2018 03:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662477,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 293,000원(3.61%) 상승한 8... "
687,"[가상화폐 뉴스] 07월 19일 04시 00분 <b>비트코인</b>(3.74%), 오미세고(7.87%), 이...","Thu, 19 Jul 2018 04:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662478,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 301,000원(3.74%) 상승한 8... "
679,"[가상화폐 뉴스] 07월 19일 04시 30분 <b>비트코인</b>(3.68%), 오미세고(5.88%), 이...","Thu, 19 Jul 2018 04:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662479,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 297,000원(3.68%) 상승한 8,359... "
669,"[가상화폐 뉴스] 07월 19일 05시 00분 <b>비트코인</b>(3.34%), 오미세고(5.55%), 이...","Thu, 19 Jul 2018 05:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662480,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 269,000원(3.34%) 상승한 8... "
657,"[가상화폐 뉴스] 07월 19일 05시 30분 <b>비트코인</b>(2.9%), 오미세고(4.97%), 아이...","Thu, 19 Jul 2018 05:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662481,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 233,000원(2.9%) 상승한 8,273... "
645,"[가상화폐 뉴스] 07월 19일 06시 00분 <b>비트코인</b>(3.32%), 오미세고(4.63%), 이...","Thu, 19 Jul 2018 06:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662482,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 267,000원(3.32%) 상승한 8... "
