,title,pubDate,link,description
25,<b>비트코인</b> 두 달 만에 900만원 돌파,"Tue, 24 Jul 2018 17:40:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004190333,G20회의로 제도권 편입 기대 대표적인 가상화폐인 <b>비트코인</b> 가격이 두 달 만에 900만원을 다시 넘어섰다. 빗썸거래소 기준 24일 오후 2시 <b>비트코인</b> 가격은 912만원 선까지 올랐다. 이는 지난 5월 22일 이후 두 달여 만이다.... 
26,"[가상화폐 뉴스] 07월 24일 21시 00분 <b>비트코인</b>(7.62%), <b>비트코인</b> 캐시(8.1%)...","Tue, 24 Jul 2018 21:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000664745,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 662,000원(7.62%) 상승한 9... "
27,"가상화폐(암호화폐) 주요 종목 상승세, 07월 24일 19시 기준 <b>비트코인</b>은 53,0...","Tue, 24 Jul 2018 19:16:00 +0900",http://www.sisamagazine.co.kr/news/articleView.html?idxno=136029,"<b>비트코인</b>은 빗썸에서는 36,000원(0.40%) 상승한 9,110,000원에 거래되고 있고, 코인원에서는 53,000원(0.58%) 상승한 9,113,000원에 거래되고 있으며, 업비트에서는 14,000원(0.15%) 상승한 9,086,000원에 거래되고 있다.... "
28,"<b>비트코인</b> 900만 원 회복, 주요 가상화폐 시세와 테마기업 주가 올라","Tue, 24 Jul 2018 17:57:00 +0900",http://www.businesspost.co.kr/BP?command=article_view&num=90148,24일 빗썸에서 <b>비트코인</b>은 오후 4시51분 기준으로 1BTC(<b>비트코인</b> 단위)당 909만 원에 거래됐다. 24시간 전보다 4.74% 높아진 것으로 나타났다. 이더리움은 1ETH(이더리움 단위)당 53만6500원에 거래돼 24시간 전과... 
29,"[가상화폐 뉴스] <b>비트코인</b> 캐시, 전일 대비 46,500원 (5.06%) 오른 965,000원","Tue, 24 Jul 2018 16:16:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000664686,"[한국경제TV 라이온봇 기자] [그림 1] <b>비트코인</b> 캐시 최근 1개월 추세 (제공: 암호화폐 거래소 코인원) 07월 24일 16시 15분 현재 암호화폐 거래소 코인원에 따르면 <b>비트코인</b> 캐시는 전일 대비 46,500원 (5.06... "
30,"가상화폐(암호화폐) 16시 현재 시세, 이더리움 528,500원, <b>비트코인</b> 9,080,00...","Tue, 24 Jul 2018 16:11:00 +0900",http://www.nbntv.co.kr/news/articleView.html?idxno=108363,"<b>비트코인</b>은 빗썸에서는 9,080,000원(0.43%)에 거래되고 있으며, 코인원에서는 9,080,000원(0.44%)에 거래되고 있다. 라이트코인은 빗썸에서는 98,900원(3.56%)에 거래되고 있고, 코인원에서는 98,700원(4.17%)에 거래되고... "
31,[암호화폐 시황] <b>비트코인</b> 1.68%↑ <b>비트코인</b>캐시 2.16%↑ <b>비트코인</b>골드 -0.43...,"Tue, 24 Jul 2018 20:32:00 +0900",http://www.thebigdata.co.kr/view.php?ud=201807242030012430edd3062cea_23,코인원 암호화폐(가상화폐) 거래소 [빅데이터뉴스 김기태 기자] 암호화폐(가상화폐) <b>비트코인</b>이 한시간(19시 30분)전 대비 상승세를 보이고 있다. 국내 암호화폐(가상화폐) 거래소인 코인원에 따르면 24일... 
32,"암호화폐(가상화폐) 07월 24일 08시 기준 <b>비트코인</b> 하락, 이더리움 하락, 라이...","Tue, 24 Jul 2018 08:10:00 +0900",http://www.kgdm.co.kr/news/articleView.html?idxno=511529,"<b>비트코인</b>은 빗썸에서는 60,000원(-0.68%) 하락한 8,746,000원에 거래되고 있고, 코인원에서는 69,000원(-0.78%) 하락한 8,733,000원에 거래되고 있으며, 업비트에서는 15,000원(-0.17%) 하락한 8,763,000원에 거래되고 있다.... "
33,"16시 기준, 가상화폐(암호화폐) <b>비트코인</b> 908만원대(0.44%), 이더리움 52만원...","Tue, 24 Jul 2018 16:11:00 +0900",http://www.nbnnews.co.kr/news/articleView.html?idxno=157656,"<b>비트코인</b>은 업비트에서는 그대로 907만원대에 거래되고 있고, 빗썸에서는 39,000원(0.43%) 상승한 908만원대에 거래되고 있으며, 코인원에서는 40,000원(0.44%) 상승한 908만원대에 거래되고 있다. 그리고 <b>비트코인</b>... "
34,"가상화폐(암호화폐) 주요 종목 하락세, 07월 24일 18시 기준 <b>비트코인</b>은 39,0...","Tue, 24 Jul 2018 18:16:00 +0900",http://www.sisamagazine.co.kr/news/articleView.html?idxno=136016,"<b>비트코인</b>은 빗썸에서는 39,000원(-0.43%) 하락한 9,074,000원에 거래되고 있고, 코인원에서는 30,000원(-0.33%) 하락한 9,060,000원에 거래되고 있으며, 업비트에서는 17,000원(-0.19%) 하락한 9,072,000원에 거래되고... "
35,"[가상화폐 시세] <b>비트코인</b>, 900만원 재돌파…어거·에이치쉐어·모나코 등은 ...","Tue, 24 Jul 2018 15:59:00 +0900",http://www.econonews.co.kr/news/articleView.html?idxno=30166,"24일 빗썸거래소에 따르면 가장 큰 상승세를 보이는 가상화폐는 <b>비트코인</b> 골드다. <b>비트코인</b> 골드는 오후 3시55분 현재 24.65%(9000원) 상승한 4만5500원에 거래되고 있다. 이외에 <b>비트코인</b>, 리플, 모네로, 대시, 퀀텀... "
36,"18시 기준, 가상화폐(암호화폐) <b>비트코인</b> 907만원대(-0.43%), 이더리움 53만원...","Tue, 24 Jul 2018 18:11:00 +0900",http://www.nbnnews.co.kr/news/articleView.html?idxno=157734,"<b>비트코인</b>은 업비트에서는 17,000원(-0.19%) 하락한 907만원대에 거래되고 있고, 빗썸에서는 39,000원(-0.43%) 하락한 907만원대에 거래되고 있으며, 코인원에서는 30,000원(-0.33%) 하락한 906만원대에 거래되고 있다.... "
37,"암호화폐(가상화폐) 07월 24일 20시 기준 <b>비트코인</b> 상승, 이더리움 상승, 라이...","Tue, 24 Jul 2018 20:10:00 +0900",http://www.kgdm.co.kr/news/articleView.html?idxno=511745,"<b>비트코인</b>은 빗썸에서는 106,000원(1.16%) 상승한 9,216,000원에 거래되고 있고, 코인원에서는 106,000원(1.16%) 상승한 9,219,000원에 거래되고 있으며, 업비트에서는 152,000원(1.67%) 상승한 9,238,000원에 거래되고 있다.... "
38,"가상화폐(암호화폐) 주요 종목 상승세, 07월 24일 16시 기준 <b>비트코인</b>은 40,0...","Tue, 24 Jul 2018 16:16:00 +0900",http://www.sisamagazine.co.kr/news/articleView.html?idxno=136007,"<b>비트코인</b>은 빗썸에서는 39,000원(0.43%) 상승한 9,080,000원에 거래되고 있고, 코인원에서는 40,000원(0.44%) 상승한 9,080,000원에 거래되고 있으며, 업비트에서는 그대로 9,070,000원에 거래되고 있다. <b>비트코인</b>... "
39,"19시 기준, 가상화폐(암호화폐) <b>비트코인</b> 911만원대(0.58%), 이더리움 53만원...","Tue, 24 Jul 2018 19:11:00 +0900",http://www.nbnnews.co.kr/news/articleView.html?idxno=157754,"<b>비트코인</b>은 업비트에서는 14,000원(0.15%) 상승한 908만원대에 거래되고 있고, 빗썸에서는 36,000원(0.40%) 상승한 911만원대에 거래되고 있으며, 코인원에서는 53,000원(0.58%) 상승한 911만원대에 거래되고 있다.... "
40,"사기죄변호사 &quot;<b>비트코인</b>(가상화폐) 사기 혐의, 특경법 상 가중처벌 가능&quot;","Tue, 24 Jul 2018 14:58:00 +0900",http://www.newsrep.co.kr/news/articleView.html?idxno=55130,"그 중에는 전 세계 이슈였던 블록체인, <b>비트코인</b>에 대한 관심을 악용해 범죄를 저지르는 개인, 집단도 상당수다. 미국 사이버 보안 업체인 체이널리시스의 '가상화폐 범죄의 본질적 변화' 보고서에 따르면 해킹, 사기... "
41,"암호화폐(가상화폐) 07월 24일 00시 기준 <b>비트코인</b> 하락, 이더리움 하락, 라이...","Tue, 24 Jul 2018 00:10:00 +0900",http://www.kgdm.co.kr/news/articleView.html?idxno=511483,"<b>비트코인</b>은 빗썸에서는 49,000원(-0.56%) 하락한 8,661,000원에 거래되고 있고, 코인원에서는 14,000원(-0.16%) 하락한 8,699,000원에 거래되고 있으며, 업비트에서는 26,000원(-0.30%) 하락한 8,675,000원에 거래되고 있다.... "
42,"[가상화폐 뉴스] 07월 24일 20시 30분 <b>비트코인</b>(6.93%), <b>비트코인</b> 캐시(8.58%...","Tue, 24 Jul 2018 20:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000664741,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 601,000원(6.93%) 상승한 9... "
43,"가상화폐(암호화폐) 주요 종목 상승세, 07월 24일 17시 기준 <b>비트코인</b>은 33,0...","Tue, 24 Jul 2018 17:16:00 +0900",http://www.sisamagazine.co.kr/news/articleView.html?idxno=136012,"<b>비트코인</b>은 빗썸에서는 33,000원(0.36%) 상승한 9,113,000원에 거래되고 있고, 코인원에서는 10,000원(0.11%) 상승한 9,090,000원에 거래되고 있으며, 업비트에서는 19,000원(0.21%) 상승한 9,089,000원에 거래되고 있다.... "
44,`G20 안도+기관투자 기대`에 뛰는 암호화폐…<b>비트코인</b> 870만원대,"Tue, 24 Jul 2018 08:54:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004156783,최근 나흘간 <b>비트코인</b> 가격 추이 (그래픽=빗썸)  암호화폐시장이 다시 상승세를 타고 있다. 우려했던 주요 20개국(G20) 재무장관 및 중앙은행 총재 회의에서 별다른 악재가 나오지 않은데다 기관투자가 시장 참여 확대가... 
45,[암호화폐 시황] <b>비트코인</b> 0.73%↑ <b>비트코인</b>캐시 1.67%↑ <b>비트코인</b>골드 0.52%...,"Tue, 24 Jul 2018 19:32:00 +0900",http://www.thebigdata.co.kr/view.php?ud=201807241930015571edd306dba1_23,코인원 암호화폐(가상화폐) 거래소 [빅데이터뉴스 김기태 기자] 암호화폐(가상화폐) <b>비트코인</b>이 한시간(18시 30분)전 대비 상승세를 보이고 있다. 국내 암호화폐(가상화폐) 거래소인 코인원에 따르면 24일... 
46,"'가상화폐 거래소' 빗썸, 24일 오후 주요 암호화폐 대부분 하락세 보여…이시...","Tue, 24 Jul 2018 12:23:00 +0900",http://www.topstarnews.net/news/articleView.html?idxno=451896,"24일 현재 빗썸 홈페이지에 따르면 <b>비트코인</b>은 상승세, 이더리움 등 주요 암호화페가 대부분 하락세를 타고 있다. 아래는 빗썸 홈페이지에 게시된 국내 시세다. <b>비트코인</b>... "
47,"[가상화폐 뉴스] 07월 24일 20시 00분 <b>비트코인</b>(6.39%), <b>비트코인</b> 캐시(6.29%...","Tue, 24 Jul 2018 20:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000664733,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 554,000원(6.39%) 상승한 9... "
48,"암호화폐(가상화폐) 07월 24일 16시 기준 <b>비트코인</b> 상승, 이더리움 상승, 라이...","Tue, 24 Jul 2018 16:10:00 +0900",http://www.kgdm.co.kr/news/articleView.html?idxno=511669,"<b>비트코인</b>은 빗썸에서는 39,000원(0.43%) 상승한 9,080,000원에 거래되고 있고, 코인원에서는 40,000원(0.44%) 상승한 9,080,000원에 거래되고 있으며, 업비트에서는 그대로 9,070,000원에 거래되고 있다. 그리고... "
