"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"강서구","2018-07-25 23:00","0.008","0.2","0.007","0.025","32","23",126.8495382,37.5509786
"강서구","2018-07-25 12:00","0.003","0.3","0.035","0.017","31","19",126.8495382,37.5509786
"강서구","2018-07-25 17:00","0.004","0.2","0.051","0.012","30","20",126.8495382,37.5509786
"강서구","2018-07-25 10:00","0.003","0.3","0.028","0.015","27","18",126.8495382,37.5509786
"강서구","2018-07-26 08:00","0.004","0.2","0.012","0.020","32","19",126.8495382,37.5509786
"강서구","2018-07-25 11:00","0.003","0.3","0.031","0.018","32","20",126.8495382,37.5509786
"강서구","2018-07-25 16:00","0.004","0.2","0.049","0.011","26","18",126.8495382,37.5509786
"강서구","2018-07-26 07:00","0.003","0.2","0.014","0.016","40","20",126.8495382,37.5509786
"강서구","2018-07-25 24:00","0.005","0.3","0.010","0.021","37","21",126.8495382,37.5509786
"관악구","2018-07-25 20:00","0.004","0.3","0.032","0.021","32","18",126.9516133,37.4784063
"관악구","2018-07-25 12:00","0.004","0.3","0.039","0.016","37","20",126.9516133,37.4784063
"관악구","2018-07-26 02:00","0.004","0.2","0.024","0.014","28","17",126.9516133,37.4784063
"관악구","2018-07-25 13:00","0.004","0.3","0.048","0.013","33","20",126.9516133,37.4784063
"관악구","2018-07-25 19:00","0.004","0.3","0.038","0.019","36","20",126.9516133,37.4784063
"관악구","2018-07-25 18:00","0.004","0.3","0.045","0.016","32","19",126.9516133,37.4784063
"관악구","2018-07-26 01:00","0.004","0.3","0.020","0.019","30","0",126.9516133,37.4784063
"관악구","2018-07-26 09:00","0.005","0.3","0.025","0.016","27","17",126.9516133,37.4784063
"관악구","2018-07-25 10:00","0.004","0.3","0.031","0.014","31","22",126.9516133,37.4784063
"관악구","2018-07-26 03:00","0.004","0.2","0.025","0.012","27","24",126.9516133,37.4784063
"관악구","2018-07-26 04:00","0.004","0.2","0.026","0.011","23","13",126.9516133,37.4784063
"관악구","2018-07-25 21:00","0.004","0.3","0.030","0.021","38","22",126.9516133,37.4784063
"관악구","2018-07-25 14:00","0.004","0.3","0.055","0.014","36","24",126.9516133,37.4784063
"관악구","2018-07-25 17:00","0.004","0.3","0.051","0.015","36","24",126.9516133,37.4784063
"관악구","2018-07-25 11:00","0.004","0.3","0.035","0.015","37","17",126.9516133,37.4784063
"관악구","2018-07-26 08:00","0.004","0.3","0.026","0.015","27","23",126.9516133,37.4784063
"관악구","2018-07-26 06:00","0.004","0.3","0.025","0.013","25","20",126.9516133,37.4784063
"관악구","2018-07-25 16:00","0.003","0.3","0.050","0.016","42","23",126.9516133,37.4784063
"관악구","2018-07-25 22:00","0.005","0.3","0.021","0.029","28","17",126.9516133,37.4784063
"관악구","2018-07-25 15:00","0.004","0.3","0.048","0.016","39","16",126.9516133,37.4784063
"관악구","2018-07-26 05:00","0.004","0.3","0.025","0.012","29","13",126.9516133,37.4784063
"관악구","2018-07-25 23:00","0.005","0.3","0.019","0.030","37","25",126.9516133,37.4784063
"관악구","2018-07-26 07:00","0.004","0.3","0.026","0.016","31","20",126.9516133,37.4784063
"관악구","2018-07-25 24:00","0.004","0.3","0.020","0.024","33","28",126.9516133,37.4784063
"광진구","2018-07-25 21:00","0.009","0.5","0.022","0.019","32","25",127.0822938,37.5384843
"광진구","2018-07-26 09:00","0.009","0.6","0.012","0.016","32","21",127.0822938,37.5384843
"광진구","2018-07-25 13:00","0.008","0.5","0.038","0.012","34","24",127.0822938,37.5384843
"광진구","2018-07-25 19:00","0.009","0.5","0.036","0.017","30","21",127.0822938,37.5384843
"광진구","2018-07-25 12:00","0.008","0.5","0.030","0.011","36","27",127.0822938,37.5384843
"광진구","2018-07-25 14:00","0.008","0.6","0.049","0.011","31","25",127.0822938,37.5384843
"광진구","2018-07-26 01:00","0.012","0.6","0.001","0.023","29","26",127.0822938,37.5384843
"광진구","2018-07-26 02:00","0.010","0.5","0.007","0.015","25","16",127.0822938,37.5384843
"광진구","2018-07-25 18:00","0.008","0.5","0.043","0.015","40","24",127.0822938,37.5384843
"광진구","2018-07-26 08:00","0.008","0.6","0.006","0.017","30","21",127.0822938,37.5384843
