obs,time(UTC),latitude(degrees_north),longitude(degrees_east),ship_id_mmsi,navigational_status,speed_over_ground(kts),course_over_ground(deg),true_heading(deg),rate_of_turn(degrees minutes-1),position_accuracy
102,2011-08-03T10:11:20Z,5.75968,-155.88239,441062000,15,5.2,93.7,511,-128,0
103,2011-08-03T10:11:32Z,21.19742,-157.76611,367015060,0,8.2,114.5,511,-128,0
104,2011-08-03T10:12:10Z,21.98248,-169.04034,249731000,0,16.1,278,279,0,1
105,2011-08-03T10:12:10Z,5.25396,-160.15755,440792000,3,2.5,243.1,511,-128,0
106,2011-08-03T10:12:18Z,21.30997,-157.86816,367309120,0,0,247,511,-128,0
107,2011-08-03T10:12:18Z,11.75275,-155.81364,431869000,15,9.3,124,121,0,0
108,2011-08-03T10:12:26Z,5.5017,-155.85393,440612000,0,3.5,246.6,511,-128,1
109,2011-08-03T10:12:26Z,5.08726,-160.15688,440935000,0,3.4,123.1,511,-128,0
110,2011-08-03T10:12:56Z,5.25765,-158.91922,440858000,0,3.9,86.7,511,-128,1
111,2011-08-03T10:13:00Z,22.00132,-164.75822,367311350,0,15.3,103,101,-5,0
112,2011-08-03T10:13:02Z,21.7805,-169.53067,355040000,0,14.9,283,284,0,0
113,2011-08-03T10:13:04Z,6.65078,-153.44273,440807000,7,3.7,267.2,511,-128,0
114,2011-08-03T10:13:26Z,5.08649,-160.15593,440935000,0,3.8,135,511,-128,0
115,2011-08-03T10:13:26Z,13.73361,-158.60878,563233000,0,11.5,181.2,178,0,0
116,2011-08-03T10:13:36Z,21.11912,-157.61246,367151210,0,5.4,111.3,511,-128,0
117,2011-08-03T10:13:36Z,21.30998,-157.86815,367309120,0,0,268,511,-128,0
118,2011-08-03T10:13:36Z,23.86828,-161.20023,636009881,0,12.4,130,130,0,1
119,2011-08-03T10:13:40Z,24.19863,-153.47772,352740000,0,11.9,299,299,0,1
120,2011-08-03T10:13:40Z,7.04601,-174.12024,354469000,0,13.7,83.9,342,0,0
121,2011-08-03T10:13:40Z,21.30944,-157.87125,367008810,0,0,165.9,127,0,0
122,2011-08-03T10:13:40Z,21.3099,-157.86867,367056982,0,0,6.4,511,-128,0
123,2011-08-03T10:13:40Z,14.08516,-166.3611,412917000,0,15.6,288.1,288,0,0
124,2011-08-03T10:14:02Z,6.65067,-153.4437,440807000,7,3.7,268,511,-128,0
125,2011-08-03T10:14:06Z,21.11883,-157.61188,367151210,0,5,124.9,511,-128,0
126,2011-08-03T10:14:06Z,21.30998,-157.86816,367309120,0,0,17,511,-128,0
